USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
                                                                                                             
TN	47001	01639722	Anderson County	873352611	19665031	337.203	7.593	36.116731	-84.195418                                                                                                                 
TN	47003	01639723	Bedford County	1226719748	2980759	473.639	1.151	35.51366	-86.458294                                                                                                                   
TN	47005	01639724	Benton County	1021248372	108583505	394.306	41.924	36.070948	-88.071232                                                                                                                
TN	47007	01639725	Bledsoe County	1052973468	858669	406.555	0.332	35.593561	-85.20591                                                                                                                    
TN	47009	01639726	Blount County	1447336316	20159163	558.82	7.783	35.688185	-83.922973                                                                                                                   
TN	47011	01639727	Bradley County	851489196	6959141	328.762	2.687	35.153914	-84.859414                                                                                                                   
TN	47013	01639728	Campbell County	1243685301	46425147	480.19	17.925	36.401592	-84.159249                                                                                                                
TN	47015	01648572	Cannon County	687992379	156144	265.635	0.06	35.808394	-86.062404                                                                                                                      
TN	47017	01639729	Carroll County	1547925981	6308712	597.658	2.436	35.965748	-88.452379                                                                                                                  
TN	47019	01639730	Carter County	883854986	16670131	341.258	6.436	36.284744	-82.126593                                                                                                                   
TN	47021	01639731	Cheatham County	783480108	11821692	302.503	4.564	36.255169	-87.100808                                                                                                                 
TN	47023	01639732	Chester County	740053474	575590	285.736	0.222	35.420253	-88.611353                                                                                                                    
TN	47025	01639733	Claiborne County	1125619421	18052387	434.604	6.97	36.501572	-83.660698                                                                                                                
TN	47027	01648573	Clay County	612626871	59070611	236.537	22.807	36.545749	-85.545717                                                                                                                    
TN	47029	01639734	Cocke County	1129584563	17932684	436.135	6.924	35.916198	-83.119224                                                                                                                   
TN	47031	01639735	Coffee County	1111010401	14479480	428.964	5.591	35.488765	-86.078202                                                                                                                  
TN	47033	01648574	Crockett County	687714870	545783	265.528	0.211	35.818795	-89.132494                                                                                                                   
TN	47035	01639736	Cumberland County	1764574105	9099481	681.306	3.513	35.952398	-84.994761                                                                                                               
TN	47037	01639737	Davidson County	1304564434	56621444	503.695	21.862	36.169129	-86.78479                                                                                                                
TN	47039	01639739	Decatur County	864739796	28502982	333.878	11.005	35.603136	-88.110292                                                                                                                 
TN	47041	01639738	DeKalb County	788430955	63639368	304.415	24.571	35.982219	-85.833596                                                                                                                  
TN	47043	01639740	Dickson County	1268830618	3682665	489.898	1.422	36.145533	-87.364155                                                                                                                  
TN	47045	01639741	Dyer County	1326982067	35839863	512.351	13.838	36.054196	-89.398306                                                                                                                   
TN	47047	01639742	Fayette County	1825359640	3774635	704.775	1.457	35.196993	-89.413803                                                                                                                  
TN	47049	01639743	Fentress County	1291385622	841022	498.607	0.325	36.369892	-84.937764                                                                                                                  
TN	47051	01639744	Franklin County	1436141673	55046635	554.497	21.254	35.155926	-86.099203                                                                                                               
TN	47053	01639745	Gibson County	1561102696	2345193	602.745	0.905	35.991632	-88.933812                                                                                                                   
TN	47055	01639746	Giles County	1582304899	642572	610.931	0.248	35.202723	-87.035319                                                                                                                     
TN	47057	01648575	Grainger County	726715759	56600343	280.587	21.854	36.277509	-83.509546                                                                                                                
TN	47059	01639747	Greene County	1611409727	5099752	622.169	1.969	36.179487	-82.847523                                                                                                                   
TN	47061	01639748	Grundy County	933545812	1755421	360.444	0.678	35.393386	-85.710379                                                                                                                    
TN	47063	01648576	Hamblen County	417475125	37853343	161.188	14.615	36.218397	-83.266071                                                                                                                 
TN	47065	01639749	Hamilton County	1404197532	86784458	542.164	33.508	35.163472	-85.201843                                                                                                               
TN	47067	01648577	Hancock County	575816010	2988718	222.324	1.154	36.521353	-83.227493                                                                                                                   
TN	47069	01639750	Hardeman County	1729509842	6768751	667.768	2.613	35.218785	-88.988697                                                                                                                 
TN	47071	01639751	Hardin County	1495676918	48713523	577.484	18.808	35.201893	-88.185696                                                                                                                 
